date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:16:23	210362/210362	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2011:16:22%20GMT	https://www.ewedinvite.site/DOVANGKLOGO	D:/Cisco/webdamcuoi/www.ewedinvite.site/DOVANGKLOGO.html	(from )
18:16:23	163/163	---M-Z	200	added ('OK')	text/plain	etag:%225B216EC%22	https://www.ewedinvite.site/robots.txt		(from )
18:16:24	2420/2420	---M--	200	added ('OK')	image/webp	etag:png.png	https://content.pancake.vn/1/s96x50/fwebp/06/92/cf/37/91602f3e90b650de349806f37b724ef20cbf59562bb96d335e1b9221-w:1200-h:630-l:898453-t:image/png.png	D:/Cisco/webdamcuoi/content.pancake.vn/1/s96x50/fwebp/06/92/cf/37/91602f3e90b650de349806f37b724ef20cbf59562bb96d335e1b9221-w_1200-h_630-l_898453-t_image/png.png	(from https://www.ewedinvite.site/DOVANGKLOGO)
18:16:24	39152/39152	---M--	200	added ('OK')	image/webp	etag:png.png	https://content.pancake.vn/1/s840x1600/fwebp/fd/42/7d/0c/1ca1e8525f99e3105eb930cd8ed684a64b07a0d9df7e0c725ca9779c-w:1260-h:2400-l:65030-t:image/png.png	D:/Cisco/webdamcuoi/content.pancake.vn/1/s840x1600/fwebp/fd/42/7d/0c/1ca1e8525f99e3105eb930cd8ed684a64b07a0d9df7e0c725ca9779c-w_1260-h_2400-l_65030-t_image/png.png	(from https://www.ewedinvite.site/DOVANGKLOGO)
18:16:24	9702/9702	---M--	200	added ('OK')	image/webp	etag:png.png	https://content.pancake.vn/1/s487x487/fwebp/c9/7c/2a/c5/5ba36c13eb69d83d80e92d1a2eee50cfee36e987297533b6480719a7-w:500-h:500-l:12182-t:image/png.png	D:/Cisco/webdamcuoi/content.pancake.vn/1/s487x487/fwebp/c9/7c/2a/c5/5ba36c13eb69d83d80e92d1a2eee50cfee36e987297533b6480719a7-w_500-h_500-l_12182-t_image/png.png	(from https://www.ewedinvite.site/DOVANGKLOGO)
18:16:24	35024/35024	---M--	200	added ('OK')	image/webp	etag:png.png	https://content.pancake.vn/1/s840x1600/fwebp/fb/1a/3d/db/5397c85e01e68520b6e686acfb8f4b71fc813f563e456d159b222a3c-w:1260-h:2400-l:1301050-t:image/png.png	D:/Cisco/webdamcuoi/content.pancake.vn/1/s840x1600/fwebp/fb/1a/3d/db/5397c85e01e68520b6e686acfb8f4b71fc813f563e456d159b222a3c-w_1260-h_2400-l_1301050-t_image/png.png	(from https://www.ewedinvite.site/DOVANGKLOGO)
18:16:24	39394/39394	---M--	200	added ('OK')	image/webp	etag:png.png	https://content.pancake.vn/1/s840x1600/fwebp/0e/6c/18/fb/44e9347bb12368a07e646ad45939e6086fc1ce3b2b39c28663352c01-w:1260-h:2400-l:1296984-t:image/png.png	D:/Cisco/webdamcuoi/content.pancake.vn/1/s840x1600/fwebp/0e/6c/18/fb/44e9347bb12368a07e646ad45939e6086fc1ce3b2b39c28663352c01-w_1260-h_2400-l_1296984-t_image/png.png	(from https://www.ewedinvite.site/DOVANGKLOGO)
18:16:25	21374/21374	---M--	200	added ('OK')	image/webp	etag:png.png	https://content.pancake.vn/1/s487x487/fwebp/b3/56/e9/68/af4129e31d91132cb5316f8ce714f78a520be70fd480db42ff8122ce-w:500-h:500-l:43453-t:image/png.png	D:/Cisco/webdamcuoi/content.pancake.vn/1/s487x487/fwebp/b3/56/e9/68/af4129e31d91132cb5316f8ce714f78a520be70fd480db42ff8122ce-w_500-h_500-l_43453-t_image/png.png	(from https://www.ewedinvite.site/DOVANGKLOGO)
18:16:25	10836/10836	---M--	200	added ('OK')	image/webp	etag:png.png	https://content.pancake.vn/1/fwebp/f5/0c/65/6f/daee3dc9b5487eb190fd88220ef5e6249cfe15ee9b4b145c97a89ee1-w:500-h:500-l:50319-t:image/png.png	D:/Cisco/webdamcuoi/content.pancake.vn/1/fwebp/f5/0c/65/6f/daee3dc9b5487eb190fd88220ef5e6249cfe15ee9b4b145c97a89ee1-w_500-h_500-l_50319-t_image/png.png	(from https://www.ewedinvite.site/DOVANGKLOGO)
18:16:25	24714/24714	---M--	200	added ('OK')	image/webp	etag:png.png	https://content.pancake.vn/1/s486x486/fwebp/5d/4d/ed/50/c176e3fd3e67b078488c02451f6a09af9fe9e929c4f113f5c162595e-w:500-h:500-l:22239-t:image/png.png	D:/Cisco/webdamcuoi/content.pancake.vn/1/s486x486/fwebp/5d/4d/ed/50/c176e3fd3e67b078488c02451f6a09af9fe9e929c4f113f5c162595e-w_500-h_500-l_22239-t_image/png.png	(from https://www.ewedinvite.site/DOVANGKLOGO)
